Rank,ticker,source_index,sector,trades,wins,losses,win_rate,total_pnl,profit_factor,avg_pnl_pct
1,GLAXO.NS,NIFTY LargeMidcap 250,Healthcare,2,2,0,100.0,36517.8,99.0,17.56
2,UNIONBANK.NS,NIFTY Next 50,Financial Services,4,4,0,100.0,28207.0,99.0,6.0
3,FEDERALBNK.NS,NIFTY Bank,Financial Services,3,3,0,100.0,27546.06,99.0,7.38
4,PNB.NS,NIFTY Next 50,Financial Services,3,3,0,100.0,25728.77,99.0,6.0
5,ADANIENSOL.NS,NIFTY Next 50,Power,3,3,0,100.0,22488.43,99.0,8.19
6,CGPOWER.NS,NIFTY Next 50,Capital Goods,2,2,0,100.0,22357.12,99.0,7.58
7,TRENT.NS,NIFTY LargeMidcap 250,Consumer Services,1,1,0,100.0,20364.9,99.0,15.96
8,ENDURANCE.NS,NIFTY LargeMidcap 250,Automobile and Auto Components,1,1,0,100.0,19275.04,99.0,15.75
9,BLS.NS,NIFTY Smallcap 250,Consumer Services,3,3,0,100.0,19055.44,99.0,4.08
10,CUB.NS,NIFTY Smallcap 250,Financial Services,2,2,0,100.0,18948.44,99.0,6.0
11,PGEL.NS,NIFTY Smallcap 250,Consumer Durables,2,2,0,100.0,18252.28,99.0,6.0
12,TMPV.NS,NIFTY LargeMidcap 250,Automobile and Auto Components,1,1,0,100.0,16773.84,99.0,12.07
13,NATCOPHARM.NS,NIFTY Smallcap 250,Healthcare,3,2,1,66.7,15752.94,8.29,3.54
14,GALLANTT.NS,NIFTY Smallcap 250,Capital Goods,2,2,0,100.0,14827.21,99.0,6.0
15,FIRSTCRY.NS,NIFTY Smallcap 250,Consumer Services,2,2,0,100.0,14580.01,99.0,6.0
16,JWL.NS,NIFTY Smallcap 250,Capital Goods,4,2,2,50.0,13132.41,4.68,2.21
17,ATUL.NS,NIFTY Smallcap 250,Chemicals,1,1,0,100.0,13071.3,99.0,6.0
18,TMCV.NS,NIFTY Next 50,Capital Goods,1,1,0,100.0,12981.2,99.0,7.6
19,TEGA.NS,NIFTY Smallcap 250,Capital Goods,1,1,0,100.0,12821.16,99.0,6.0
